EPI_ISL_501619;1209,1237;
EPI_ISL_623837;285,213;1759,1760;213,287;1760,1764;
EPI_ISL_508365;1374,1042;1042,1375;
EPI_ISL_441039;437,440;435,437;
EPI_ISL_508366;1374,1042;1042,1375;
EPI_ISL_566945;241,298;216,241;
EPI_ISL_508367;359,333;333,361;
EPI_ISL_566946;1425,1427;1423,1425;
EPI_ISL_566947;679,1300;1298,679;
EPI_ISL_508369;2035,2037;
EPI_ISL_508370;1247,1088;1088,1249;
EPI_ISL_441048;437,440;435,437;
EPI_ISL_623846;887,1180;1178,887;
EPI_ISL_441051;1187,770;770,1189;
EPI_ISL_566956;146,74;74,148;784,785;1401,784;860,697;786,860;785,786;
EPI_ISL_508379;1374,1042;1042,1375;
EPI_ISL_508380;1847,2031;2088,1847;
EPI_ISL_508382;1847,2031;2088,1847;
EPI_ISL_623852;2076,2078;
EPI_ISL_508384;948,1142;1140,948;
EPI_ISL_566963;747,1308;1306,747;
EPI_ISL_508385;1847,2031;2088,1847;
EPI_ISL_441062;437,440;435,437;
EPI_ISL_508386;1847,2031;2088,1847;
EPI_ISL_441064;437,440;435,437;
EPI_ISL_508389;1374,1042;1042,1375;
EPI_ISL_508390;1847,2031;2088,1847;
EPI_ISL_566970;288,246;246,290;
EPI_ISL_566971;1547,1522;1522,1549;
EPI_ISL_508394;1847,2031;2088,1847;
EPI_ISL_623861;288,246;246,290;
EPI_ISL_566974;679,1300;1298,679;
EPI_ISL_441074;437,440;435,437;
EPI_ISL_623863;1888,2071;2069,1888;
EPI_ISL_566977;359,333;333,361;
EPI_ISL_566980;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_508402;1577,1616;1614,1577;
EPI_ISL_566981;679,1300;1298,679;
EPI_ISL_566982;1566,1569;1565,1566;
EPI_ISL_441083;437,440;435,437;
EPI_ISL_623871;1988,1848;1848,1860;
EPI_ISL_566988;288,246;246,290;
EPI_ISL_623874;134,101;101,136;
EPI_ISL_566990;679,1300;1298,679;
EPI_ISL_566991;1547,1522;1522,1549;
EPI_ISL_623876;1183,921;921,947;
EPI_ISL_508412;1374,1042;1042,1375;
EPI_ISL_508416;347,363;361,347;
EPI_ISL_623880;285,213;213,287;
EPI_ISL_508417;347,363;361,347;
EPI_ISL_566996;643,1230;1228,643;
EPI_ISL_623881;285,213;213,287;
EPI_ISL_441099;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_623883;134,101;101,136;
EPI_ISL_508421;162,85;85,164;
EPI_ISL_441103;437,440;435,437;
EPI_ISL_567002;1987,1988;2082,1987;
EPI_ISL_508424;1548,1515;1515,1550;
EPI_ISL_441105;1173,1179;
EPI_ISL_567004;288,246;246,290;
EPI_ISL_567006;1905,2082;2080,1905;
EPI_ISL_567007;1852,2049;2047,1852;
EPI_ISL_567008;870,1133;1131,870;
EPI_ISL_441112;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_441113;134,101;1369,863;863,728;101,136;
EPI_ISL_567011;1123,982;982,1125;
EPI_ISL_508433;1548,1515;1515,1550;
EPI_ISL_441115;437,440;435,437;
EPI_ISL_567012;241,298;216,241;
EPI_ISL_508434;1847,2031;2088,1847;
EPI_ISL_623894;1565,1567;1567,1569;
EPI_ISL_508437;347,363;361,347;
EPI_ISL_441119;437,440;435,437;
EPI_ISL_508438;1847,2031;2088,1847;
EPI_ISL_508439;1548,1515;1515,1550;
EPI_ISL_508440;1548,1515;1515,1550;
EPI_ISL_441124;437,440;435,437;
EPI_ISL_441127;1597,1620;1617,1597;
EPI_ISL_508446;1548,1515;1515,1550;
EPI_ISL_441130;1340,804;804,1342;
EPI_ISL_441131;437,440;435,437;
EPI_ISL_567027;288,246;246,290;
EPI_ISL_441133;1340,804;804,1342;
EPI_ISL_441134;1123,982;982,1125;
EPI_ISL_623908;764,1104;1102,764;
EPI_ISL_441135;437,440;435,437;
EPI_ISL_623909;285,213;1549,1526;1526,1551;213,287;
EPI_ISL_567032;288,246;246,290;
EPI_ISL_567033;1221,927;927,1223;
EPI_ISL_623912;1927,2031;2088,1927;
EPI_ISL_623913;129,11;11,131;
EPI_ISL_508458;1548,1515;1515,1550;
EPI_ISL_508459;1548,1515;1399,593;593,688;1515,1550;
EPI_ISL_441144;437,440;435,437;
EPI_ISL_623917;1565,1567;1567,1569;
EPI_ISL_567040;288,246;246,290;
EPI_ISL_441148;129,11;437,440;435,437;11,131;
EPI_ISL_441150;437,440;435,437;
EPI_ISL_567043;1988,1848;1848,1860;
EPI_ISL_508467;1247,1088;1088,1249;
EPI_ISL_567045;1852,2049;2047,1852;
EPI_ISL_567047;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_441159;437,440;435,437;
EPI_ISL_441161;1988,1848;1848,1860;
EPI_ISL_623927;1999,1845;1845,1961;
EPI_ISL_441162;437,440;435,437;
EPI_ISL_567052;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_441163;437,440;435,437;
EPI_ISL_508479;406,401;1999,2105;401,408;
EPI_ISL_508482;487,581;486,487;
EPI_ISL_508485;1374,1042;1042,1375;
EPI_ISL_623934;2045,2022;2022,2047;
EPI_ISL_441172;437,440;435,437;
EPI_ISL_567060;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_508487;1374,1042;1042,1375;
EPI_ISL_623936;285,213;2088,1847;1847,2031;213,287;
EPI_ISL_508488;1374,1042;1042,1375;
EPI_ISL_623937;1159,714;714,1161;
EPI_ISL_441175;437,440;435,437;
EPI_ISL_567063;1526,1551;1549,1526;
EPI_ISL_508490;622,1405;697,622;
EPI_ISL_567065;285,213;213,287;
EPI_ISL_441178;437,440;435,437;
EPI_ISL_567066;288,246;246,290;
EPI_ISL_623941;285,213;213,287;
EPI_ISL_508496;1810,1770;1770,1812;
EPI_ISL_567070;288,246;246,290;
EPI_ISL_508498;1548,1515;1515,1550;
EPI_ISL_623947;287,238;238,289;1159,714;714,1161;
EPI_ISL_441185;437,440;435,437;
EPI_ISL_508500;1760,1764;1759,1760;
EPI_ISL_567075;288,246;246,290;1526,1551;1549,1526;
EPI_ISL_508502;285,213;213,287;
EPI_ISL_623951;2041,1921;1921,2043;
EPI_ISL_441190;1364,645;645,1366;
EPI_ISL_508504;1988,1848;1848,1860;
EPI_ISL_508506;1826,1830;1825,1826;
EPI_ISL_567080;1565,1567;1567,1569;
EPI_ISL_441193;437,440;435,437;
EPI_ISL_567081;1905,2082;2080,1905;
EPI_ISL_567084;50,169;162,85;85,164;1988,1848;1848,1860;167,50;
EPI_ISL_623959;1533,1539;1504,1533;
EPI_ISL_441198;437,440;435,437;
EPI_ISL_623960;288,246;246,290;
EPI_ISL_567086;1159,714;714,1161;
EPI_ISL_623963;1244,734;734,1246;
EPI_ISL_567089;288,246;246,290;
EPI_ISL_508616;1229,795;795,1231;
EPI_ISL_567090;1159,714;714,1161;
EPI_ISL_441203;1340,804;804,1342;
EPI_ISL_623966;288,246;246,290;
EPI_ISL_441205;440,442;442,446;
EPI_ISL_567092;288,246;246,290;
EPI_ISL_623967;1159,714;714,1161;1988,1848;1848,1860;
EPI_ISL_623968;288,246;246,290;
EPI_ISL_441207;142,99;99,144;
EPI_ISL_441208;1340,804;804,1342;
EPI_ISL_567095;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_623970;285,213;865,1405;697,865;213,287;
EPI_ISL_567096;288,246;246,290;
EPI_ISL_508623;285,213;1988,1848;213,287;1848,1860;
EPI_ISL_567097;1852,2049;2047,1852;
EPI_ISL_623972;285,213;865,1405;697,865;213,287;
EPI_ISL_567098;667,668;668,1252;
EPI_ISL_441213;437,440;435,437;
EPI_ISL_508626;1988,1848;1848,1860;
EPI_ISL_623976;764,1104;1102,764;
EPI_ISL_441216;437,440;435,437;
EPI_ISL_567102;667,668;668,1252;
EPI_ISL_623978;1810,1770;1770,1812;
EPI_ISL_441219;437,440;435,437;
EPI_ISL_441220;857,1254;1252,857;
EPI_ISL_567106;1159,714;714,1161;
EPI_ISL_567107;144,75;75,146;
EPI_ISL_623981;285,213;865,1405;697,865;213,287;
EPI_ISL_623982;1159,714;714,1161;
EPI_ISL_567110;1852,2049;2047,1852;
EPI_ISL_623984;1565,1567;1567,1569;
EPI_ISL_441225;437,440;435,437;
EPI_ISL_623985;764,1104;1102,764;
EPI_ISL_623986;134,101;101,136;
EPI_ISL_508638;1665,1692;1692,1697;1988,1848;1848,1860;
EPI_ISL_567113;288,246;246,290;
EPI_ISL_567114;162,85;85,164;
EPI_ISL_567115;1697,1698;1698,1703;
EPI_ISL_623991;764,1104;1102,764;
EPI_ISL_567119;288,246;246,290;
EPI_ISL_441234;440,442;442,446;
EPI_ISL_441235;437,440;435,437;
EPI_ISL_508647;1988,1848;1848,1860;
EPI_ISL_508651;1988,1848;1848,1860;
EPI_ISL_567125;643,1230;1228,643;
EPI_ISL_508652;359,334;334,361;
EPI_ISL_441242;437,440;435,437;
EPI_ISL_567127;288,246;246,290;
EPI_ISL_623999;643,1230;1228,643;
EPI_ISL_567128;288,246;246,290;
EPI_ISL_441244;437,440;435,437;
EPI_ISL_508656;361,332;332,363;
EPI_ISL_624001;285,213;213,287;
EPI_ISL_508657;361,332;332,363;
EPI_ISL_441248;437,440;435,437;
EPI_ISL_624003;1988,1848;1848,1860;
EPI_ISL_624005;292,232;232,294;
EPI_ISL_624006;1551,1506;1506,1555;
EPI_ISL_508662;1849,2096;1848,1849;1988,1848;
EPI_ISL_567136;2094,1990;188,314;312,188;1990,2096;246,290;288,246;
EPI_ISL_441253;288,246;246,290;
EPI_ISL_508663;361,332;332,363;1988,1848;1848,1860;
EPI_ISL_624009;285,213;213,287;
EPI_ISL_567139;288,246;246,290;
EPI_ISL_624010;1988,1848;1848,1860;
EPI_ISL_508667;361,332;332,363;1988,1848;1848,1860;
EPI_ISL_441259;437,440;435,437;
EPI_ISL_508673;1547,1522;1522,1549;
EPI_ISL_624016;2076,2078;
EPI_ISL_508675;1988,1848;1848,1860;
EPI_ISL_567148;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_624018;134,101;101,136;
EPI_ISL_567149;288,246;246,290;
EPI_ISL_624019;1159,714;714,1161;
EPI_ISL_567150;2057,1915;1915,2059;
EPI_ISL_441269;2041,1921;437,440;435,437;1921,2043;
EPI_ISL_441270;437,440;435,437;
EPI_ISL_624024;1927,2031;2088,1927;
EPI_ISL_567156;679,1300;1298,679;
EPI_ISL_624026;285,213;213,287;
EPI_ISL_508684;1988,1848;1848,1860;
EPI_ISL_441277;133,53;53,135;
EPI_ISL_624029;1565,1567;1567,1569;
EPI_ISL_624031;285,213;213,287;
EPI_ISL_441283;437,440;435,437;
EPI_ISL_441286;437,440;435,437;
EPI_ISL_567168;764,1104;1102,764;
EPI_ISL_441287;1877,2062;2060,1877;
EPI_ISL_441288;241,298;216,241;
EPI_ISL_624040;1988,1848;1848,1860;
EPI_ISL_441292;869,1263;437,440;1261,869;435,437;
EPI_ISL_441293;285,213;213,287;
EPI_ISL_508704;1669,1694;1741,1709;1709,1743;1691,1669;
EPI_ISL_624046;288,246;246,290;
EPI_ISL_567178;188,314;288,246;246,290;312,188;
EPI_ISL_624049;134,101;101,136;
EPI_ISL_441300;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_567182;1990,2096;1374,1042;1042,1375;2094,1990;
EPI_ISL_441302;437,440;435,437;
EPI_ISL_567185;679,1300;1298,679;
EPI_ISL_624053;1547,1517;1517,1549;
EPI_ISL_508717;126,26;26,128;
EPI_ISL_624054;1159,714;714,1161;
EPI_ISL_508719;970,1179;1177,970;
EPI_ISL_624055;277,189;189,279;
EPI_ISL_624057;288,246;246,290;
EPI_ISL_508722;126,26;26,128;
EPI_ISL_567192;667,668;668,1252;
EPI_ISL_624060;1262,648;648,1264;
EPI_ISL_567193;282,258;258,284;
EPI_ISL_624061;288,246;246,290;
EPI_ISL_624065;288,246;246,290;
EPI_ISL_508732;1156,889;889,1069;
EPI_ISL_441321;1847,2031;2088,1847;
EPI_ISL_624066;285,213;1979,2084;2083,1979;213,287;
EPI_ISL_508733;1712,1741;1739,1712;
EPI_ISL_624067;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_624068;870,1133;1131,870;
EPI_ISL_441325;437,440;435,437;
EPI_ISL_567203;288,246;246,290;
EPI_ISL_441326;1988,1848;1848,1860;
EPI_ISL_567204;2041,1921;1921,2043;
EPI_ISL_441327;134,101;1369,863;863,728;101,136;
EPI_ISL_567208;285,213;213,287;
EPI_ISL_567209;1852,2049;2047,1852;
EPI_ISL_441334;437,440;435,437;
EPI_ISL_567211;188,314;288,246;246,290;312,188;
EPI_ISL_508744;1726,1732;1708,1726;
EPI_ISL_441336;2080,2103;
EPI_ISL_624079;288,246;246,290;
EPI_ISL_567216;1852,2049;2047,1852;
EPI_ISL_508751;144,6;6,146;
EPI_ISL_624081;1988,1848;1848,1860;
EPI_ISL_508752;144,6;6,146;
EPI_ISL_567221;288,246;246,290;
EPI_ISL_567222;784,785;1401,784;
EPI_ISL_624086;288,246;246,290;
EPI_ISL_508757;1726,1732;1708,1726;
EPI_ISL_624092;1565,1567;1567,1569;
EPI_ISL_624096;285,213;213,287;
EPI_ISL_624100;285,213;1759,1760;213,287;1760,1764;
EPI_ISL_567239;764,1104;1102,764;
EPI_ISL_441366;437,440;435,437;
EPI_ISL_624102;887,1180;1178,887;
EPI_ISL_441367;437,440;435,437;
EPI_ISL_441368;437,440;435,437;
EPI_ISL_567244;288,246;246,290;
EPI_ISL_567245;784,785;1401,784;
EPI_ISL_624106;2057,1915;1915,2059;
EPI_ISL_624108;1159,714;714,1161;
EPI_ISL_508786;144,6;6,146;
EPI_ISL_508788;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_567257;288,246;246,290;
EPI_ISL_567260;1988,1848;1848,1860;
EPI_ISL_441391;437,440;435,437;
EPI_ISL_624121;2057,1915;1915,2059;
EPI_ISL_441392;437,440;435,437;
EPI_ISL_508799;1902,1841;1841,1982;
EPI_ISL_508801;1902,1841;1841,1982;
EPI_ISL_508802;437,440;435,437;
EPI_ISL_624125;285,213;213,287;
EPI_ISL_508803;1358,1015;1015,1360;
EPI_ISL_567268;288,246;246,290;
EPI_ISL_441400;437,440;435,437;
EPI_ISL_508806;1902,1841;1841,1982;1253,922;922,1255;
EPI_ISL_508807;358,331;331,360;
EPI_ISL_567270;667,668;668,1252;
EPI_ISL_567272;288,246;246,290;
EPI_ISL_624131;288,246;246,290;
EPI_ISL_624132;134,101;101,136;
EPI_ISL_624133;146,74;74,148;860,697;786,860;785,786;
EPI_ISL_624134;887,1180;1178,887;
EPI_ISL_441409;437,440;435,437;
EPI_ISL_624135;1548,1515;1515,1550;
EPI_ISL_567277;643,1230;1228,643;
EPI_ISL_624138;1999,1845;1845,1961;
EPI_ISL_441414;437,440;435,437;
EPI_ISL_567280;288,246;246,290;
EPI_ISL_441416;437,440;435,437;
EPI_ISL_567282;764,1104;1102,764;
EPI_ISL_508821;1902,1841;1841,1982;
EPI_ISL_441420;437,440;435,437;
EPI_ISL_624143;285,213;213,287;
EPI_ISL_567286;288,246;246,290;
EPI_ISL_508827;133,53;53,135;437,440;435,437;
EPI_ISL_567289;288,246;246,290;
EPI_ISL_508830;133,53;53,135;437,440;435,437;
EPI_ISL_508831;133,53;53,135;437,440;435,437;
EPI_ISL_624149;1565,1567;1567,1569;
EPI_ISL_441429;437,440;435,437;
EPI_ISL_508832;133,53;53,135;437,440;435,437;
EPI_ISL_567293;679,1300;1298,679;
EPI_ISL_508834;133,53;53,135;437,440;435,437;
EPI_ISL_567295;288,246;246,290;
EPI_ISL_508835;133,53;53,135;437,440;435,437;
EPI_ISL_567296;288,246;246,290;
EPI_ISL_624152;2040,1994;1994,2042;
EPI_ISL_567297;1988,1848;1848,1860;
EPI_ISL_624155;285,213;213,287;
EPI_ISL_624156;50,169;167,50;
EPI_ISL_567300;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_624157;285,213;213,287;
EPI_ISL_567303;288,246;246,290;
EPI_ISL_624159;1159,714;714,1161;
EPI_ISL_441442;1340,804;804,1342;
EPI_ISL_567304;679,1300;1298,679;
EPI_ISL_567305;288,246;246,290;
EPI_ISL_441445;2038,1836;1836,2040;
EPI_ISL_624162;2041,1921;1921,2043;
EPI_ISL_441447;1340,804;804,1342;
EPI_ISL_567308;764,1104;1102,764;
EPI_ISL_567309;1173,595;595,1175;764,1104;1102,764;
EPI_ISL_508849;1902,1841;1841,1982;
EPI_ISL_624164;1566,1569;1565,1566;
EPI_ISL_508850;1902,1841;1841,1982;
EPI_ISL_624165;1795,1769;1769,1797;
EPI_ISL_508851;1902,1841;1841,1982;
EPI_ISL_567312;288,246;246,290;
EPI_ISL_508852;1902,1841;1841,1982;
EPI_ISL_508853;1902,1841;1841,1982;
EPI_ISL_508854;1902,1841;1841,1982;
EPI_ISL_624168;311,269;269,313;
EPI_ISL_567315;1988,1848;1848,1860;
EPI_ISL_508855;1902,1841;1841,1982;
EPI_ISL_441455;437,440;435,437;
EPI_ISL_624170;285,213;865,1405;697,865;213,287;
EPI_ISL_567317;764,1104;1102,764;
EPI_ISL_567318;288,246;246,290;
EPI_ISL_567319;288,246;246,290;
EPI_ISL_624172;134,101;101,136;
EPI_ISL_567321;288,246;246,290;
EPI_ISL_624174;288,246;246,290;
EPI_ISL_624175;1861,1999;714,1161;1159,714;1988,1848;1848,1860;1860,1861;
EPI_ISL_624176;1988,1848;1848,1860;
EPI_ISL_624177;285,213;213,287;
EPI_ISL_441469;1585,1605;1569,1585;
EPI_ISL_567328;288,246;246,290;
EPI_ISL_624181;139,63;63,141;
EPI_ISL_624182;1990,2096;2094,1990;
EPI_ISL_624184;1159,714;714,1161;
EPI_ISL_624185;1988,1848;1848,1860;
EPI_ISL_624186;2041,1921;1921,2043;
EPI_ISL_624188;1173,980;980,1175;
EPI_ISL_441478;1592,1610;1608,1592;
EPI_ISL_441483;2038,1836;1836,2040;
EPI_ISL_624192;1866,1898;
EPI_ISL_441485;437,440;435,437;
EPI_ISL_441486;437,440;435,437;
EPI_ISL_441487;2038,1836;1836,2040;
EPI_ISL_624195;1988,1848;1848,1860;
EPI_ISL_567344;288,246;246,290;
EPI_ISL_508886;2057,1915;1915,2059;
EPI_ISL_441491;1340,804;804,1342;
EPI_ISL_567347;1988,1848;1848,1860;
EPI_ISL_441497;437,440;435,437;
EPI_ISL_567351;288,246;246,290;
EPI_ISL_441498;437,440;435,437;
EPI_ISL_567352;948,1142;1140,948;
EPI_ISL_567356;643,1230;1228,643;
EPI_ISL_441504;746,1137;1135,746;
EPI_ISL_567357;1852,2049;2047,1852;
EPI_ISL_624211;285,213;213,287;
EPI_ISL_441509;1340,804;804,1342;
EPI_ISL_567362;1178,827;1566,1569;827,1180;1565,1566;160,107;107,162;
EPI_ISL_624212;1533,1539;1159,714;714,1161;1504,1533;
EPI_ISL_508904;1159,714;714,1161;
EPI_ISL_441512;746,1137;1135,746;
EPI_ISL_567365;317,247;247,319;
EPI_ISL_441513;746,1137;1135,746;
EPI_ISL_567366;643,1230;1228,643;
EPI_ISL_441514;746,1137;1135,746;
EPI_ISL_624215;288,246;246,290;
EPI_ISL_567367;1159,714;714,1161;
EPI_ISL_624216;1810,1770;1770,1812;
EPI_ISL_567368;679,1300;1298,679;
EPI_ISL_624218;1159,714;714,1161;
EPI_ISL_567372;1152,594;2084,1857;594,1154;1857,2085;
EPI_ISL_441521;746,1137;1135,746;
EPI_ISL_441522;746,1137;1135,746;2038,1836;1836,2040;
EPI_ISL_441523;746,1137;1135,746;2038,1836;1836,2040;
EPI_ISL_567375;1988,1848;1848,1860;
EPI_ISL_441525;746,1137;1135,746;2038,1836;1836,2040;
EPI_ISL_508919;535,540;
EPI_ISL_508920;535,540;
EPI_ISL_567378;1041,1143;1141,1041;764,1104;1102,764;
EPI_ISL_567380;288,246;246,290;
EPI_ISL_441530;437,440;435,437;
EPI_ISL_567381;134,101;101,136;
EPI_ISL_441531;144,75;75,146;
EPI_ISL_441533;2038,1836;1836,2040;
EPI_ISL_567385;288,246;246,290;
EPI_ISL_624232;1145,842;842,1147;
EPI_ISL_567387;288,246;246,290;
EPI_ISL_441540;437,440;435,437;
EPI_ISL_441541;437,440;435,437;
EPI_ISL_567393;1988,1848;1848,1860;
EPI_ISL_624238;764,1104;1102,764;
EPI_ISL_441545;658,1345;1344,658;
EPI_ISL_624239;2076,2078;
EPI_ISL_624240;285,213;1927,2031;2088,1927;213,287;
EPI_ISL_567396;679,1300;1298,679;
EPI_ISL_441555;437,440;435,437;
EPI_ISL_567403;679,1300;1298,679;
EPI_ISL_441558;437,440;435,437;
EPI_ISL_567405;288,246;246,290;
EPI_ISL_441559;437,440;435,437;
EPI_ISL_567406;1159,714;714,1161;
EPI_ISL_441560;1988,1848;1848,1860;
EPI_ISL_441561;437,440;435,437;
EPI_ISL_567408;285,213;213,287;
EPI_ISL_567411;679,1300;1298,679;
EPI_ISL_567415;1159,714;714,1161;
EPI_ISL_624257;1999,1845;1845,1961;
EPI_ISL_567416;288,246;246,290;
EPI_ISL_441572;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_508963;1866,1898;
EPI_ISL_441576;1548,1515;1515,1550;
EPI_ISL_441577;437,440;435,437;
EPI_ISL_624261;721,1309;1307,721;
EPI_ISL_567421;1240,730;730,1242;
EPI_ISL_508971;535,540;
EPI_ISL_441582;295,235;235,216;
EPI_ISL_624266;285,213;213,287;
EPI_ISL_567425;1629,1634;1628,1629;
EPI_ISL_567426;643,1230;1228,643;
EPI_ISL_441585;437,440;435,437;
EPI_ISL_508975;679,1300;1298,679;
EPI_ISL_567428;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_624270;764,1104;1102,764;
EPI_ISL_567430;1979,2084;1425,1427;1423,1425;2083,1979;
EPI_ISL_508978;1569,1593;1593,1605;
EPI_ISL_567431;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_567435;50,169;167,50;
EPI_ISL_508984;679,1300;1298,679;
EPI_ISL_624276;2041,1921;1921,2043;
EPI_ISL_567437;1988,1848;1848,1860;
EPI_ISL_567438;643,1230;1228,643;
EPI_ISL_508988;535,540;
EPI_ISL_508989;535,540;
EPI_ISL_624280;285,213;865,1405;697,865;213,287;
EPI_ISL_624281;1159,714;714,1161;
EPI_ISL_508992;535,540;
EPI_ISL_441604;1624,1628;1622,1624;
EPI_ISL_624282;288,246;246,290;
EPI_ISL_508994;1159,714;714,1161;
EPI_ISL_624290;1517,1549;1547,1517;1159,714;714,1161;
EPI_ISL_509003;1629,1634;1628,1629;
EPI_ISL_567454;1159,714;714,1161;
EPI_ISL_624293;285,213;2088,1847;1847,2031;213,287;
EPI_ISL_509004;437,440;435,437;
EPI_ISL_624294;285,213;1759,1760;213,287;1760,1764;
EPI_ISL_441622;437,440;435,437;
EPI_ISL_624299;285,213;213,287;
EPI_ISL_624300;285,213;213,287;
EPI_ISL_567461;1988,1848;1848,1860;
EPI_ISL_509012;1988,1848;1848,1860;
EPI_ISL_567463;667,668;668,1252;
EPI_ISL_624303;288,246;246,290;
EPI_ISL_624304;285,213;213,287;
EPI_ISL_624305;764,1104;1102,764;
EPI_ISL_509016;1569,1593;1593,1605;
EPI_ISL_509018;1866,1943;1943,2093;
EPI_ISL_567469;288,246;246,290;
EPI_ISL_509019;1866,1943;1943,2093;
EPI_ISL_509020;1866,1943;1943,2093;
EPI_ISL_624312;1852,2049;2047,1852;
EPI_ISL_509022;1866,1943;1943,2093;
EPI_ISL_441638;1123,982;982,1125;
EPI_ISL_509023;1866,1943;1943,2093;
EPI_ISL_441640;437,440;435,437;
EPI_ISL_624314;1826,1830;1825,1826;
EPI_ISL_624315;1547,1517;1517,1549;
EPI_ISL_441647;437,440;435,437;
EPI_ISL_567486;1114,716;716,1116;
EPI_ISL_567487;1123,982;982,1125;764,1104;1102,764;
EPI_ISL_441656;437,440;435,437;
EPI_ISL_441657;1340,804;804,1342;
EPI_ISL_567490;288,246;246,290;
EPI_ISL_441658;1640,1643;1643,1646;
EPI_ISL_567491;50,169;167,50;
EPI_ISL_509068;1826,1830;1825,1826;
EPI_ISL_509069;437,440;435,437;
EPI_ISL_624329;288,246;246,290;
EPI_ISL_509070;437,440;435,437;
EPI_ISL_441663;277,189;189,279;
EPI_ISL_624331;285,213;1759,1760;213,287;1760,1764;
EPI_ISL_509072;437,440;435,437;
EPI_ISL_624333;1547,1517;1517,1549;
EPI_ISL_624334;721,1309;1307,721;
EPI_ISL_441667;1988,1848;1848,1860;
EPI_ISL_509075;437,440;435,437;
EPI_ISL_624336;2041,1921;1921,2043;
EPI_ISL_509079;437,440;435,437;
EPI_ISL_509080;437,440;435,437;
EPI_ISL_624339;1640,1643;1643,1646;
EPI_ISL_624340;288,246;246,290;
EPI_ISL_441677;1468,1463;1463,1474;
EPI_ISL_567507;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_441680;440,442;442,446;
EPI_ISL_567509;288,246;246,290;
EPI_ISL_567510;1159,714;714,1161;
EPI_ISL_441682;137,10;10,110;
EPI_ISL_441684;437,440;435,437;
EPI_ISL_441688;2038,1836;1836,2040;
EPI_ISL_509095;1323,1033;1033,1325;1927,2031;2088,1927;
EPI_ISL_567517;50,169;167,50;1988,1848;1848,1860;
EPI_ISL_567518;260,301;299,260;
EPI_ISL_509097;1323,1033;1033,1325;1927,2031;2088,1927;
EPI_ISL_567519;50,169;167,50;
EPI_ISL_509098;1033,1325;139,63;63,141;2088,1927;1323,1033;1927,2031;
EPI_ISL_567520;1988,1848;1848,1860;
EPI_ISL_441694;126,26;26,128;
EPI_ISL_509100;1323,1033;1033,1325;1927,2031;2088,1927;
EPI_ISL_624356;288,246;246,290;
EPI_ISL_567523;288,246;246,290;
EPI_ISL_567524;285,213;213,287;
EPI_ISL_441700;437,440;435,437;
EPI_ISL_567527;2058,2025;1547,1522;1522,1549;2025,2060;
EPI_ISL_624361;285,213;1979,2084;2083,1979;213,287;
EPI_ISL_441703;1187,770;770,1189;
EPI_ISL_441704;2038,1836;1836,2040;
EPI_ISL_509109;25,127;24,25;
EPI_ISL_441706;2080,2103;
EPI_ISL_624368;1125,613;613,1127;1841,1982;1902,1841;
EPI_ISL_567536;288,246;246,290;
EPI_ISL_441713;437,440;435,437;
EPI_ISL_624371;285,213;1226,680;680,1228;213,287;
EPI_ISL_567540;428,422;857,1254;422,430;1252,857;
EPI_ISL_509121;437,440;435,437;
EPI_ISL_441718;137,10;10,110;
EPI_ISL_509122;1323,1033;1033,1325;1927,2031;2088,1927;
EPI_ISL_624374;288,246;246,290;
EPI_ISL_509123;1323,1033;1033,1325;1927,2031;2088,1927;
EPI_ISL_624375;764,1104;1102,764;
EPI_ISL_624377;285,213;213,287;
EPI_ISL_441724;1340,804;804,1342;
EPI_ISL_441725;1340,804;804,1342;
EPI_ISL_567546;667,668;668,1252;
EPI_ISL_624381;285,213;865,1405;697,865;213,287;
EPI_ISL_509132;1033,1325;139,63;63,141;2088,1927;1323,1033;1927,2031;
EPI_ISL_567550;2043,1850;1850,2045;
EPI_ISL_509133;241,298;216,241;
EPI_ISL_441735;1759,1760;1615,1599;1760,1764;435,437;1599,1602;437,440;
EPI_ISL_441737;126,26;26,128;
EPI_ISL_567556;1988,1848;1848,1860;
EPI_ISL_567559;1988,1848;1848,1860;
EPI_ISL_441742;437,440;435,437;
EPI_ISL_567560;1159,714;714,1161;
EPI_ISL_624390;285,213;213,287;
EPI_ISL_509144;1146,864;864,1148;
EPI_ISL_509145;654,1234;1232,654;
EPI_ISL_441745;1340,804;804,1342;
EPI_ISL_624393;285,213;213,287;
EPI_ISL_509147;654,1234;1232,654;
EPI_ISL_624394;285,213;1927,2031;2088,1927;213,287;
EPI_ISL_567565;428,422;1547,1517;422,430;1517,1549;
