strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Shanghai/SH0107/2020	betacoronavirus	EPI_ISL_416397	?	2020-02-02	Asia	China	Shanghai		Asia	China	Shanghai	genome	29835	Human	66	Male	?	B	L	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang, Xiaonan Zhang, Gang Lu, Yun Tan, Yun Ling, Hongzhou Lu, Saijuan Chen	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Shanghai/SH0112/2020	betacoronavirus	EPI_ISL_416400	?	2020-02-02	Asia	China	Shanghai		Asia	China	Shanghai	genome	29812	Human	33	Female	?	B	O	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang, Xiaonan Zhang, Gang Lu, Yun Tan, Yun Ling, Hongzhou Lu, Saijuan Chen	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Shanghai/SH0114/2020	betacoronavirus	EPI_ISL_416401	?	2020-02-02	Asia	China	Shanghai		Asia	China	Shanghai	genome	29836	Human	65	Female	?	B	L	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang, Xiaonan Zhang, Gang Lu, Yun Tan, Yun Ling, Hongzhou Lu, Saijuan Chen	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Shanghai/SH0117/2020	betacoronavirus	EPI_ISL_416403	?	2020-02-02	Asia	China	Shanghai		Asia	China	Shanghai	genome	29836	Human	66	Female	?	A	S	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang, Xiaonan Zhang, Gang Lu, Yun Tan, Yun Ling, Hongzhou Lu, Saijuan Chen	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Shanghai/SH0125/2020	betacoronavirus	EPI_ISL_416406	?	2020-02-15	Asia	China	Shanghai		Asia	China	Shanghai	genome	29812	Human	71	Male	?	B.4	O	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang, Xiaonan Zhang, Gang Lu, Yun Tan, Yun Ling, Hongzhou Lu, Saijuan Chen	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Shanghai/SH0126/2020	betacoronavirus	EPI_ISL_416407	?	2020-02-15	Asia	China	Shanghai		Asia	China	Shanghai	genome	29836	Human	42	Male	?	B.4	O	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang, Xiaonan Zhang, Gang Lu, Yun Tan, Yun Ling, Hongzhou Lu, Saijuan Chen	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Shanghai/SH0127/2020	betacoronavirus	EPI_ISL_416408	?	2020-02-12	Asia	China	Shanghai		Asia	China	Shanghai	genome	29812	Human	59	Female	?	B	O	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang, Xiaonan Zhang, Gang Lu, Yun Tan, Yun Ling, Hongzhou Lu, Saijuan Chen	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Australia/VIC02/2020	betacoronavirus	EPI_ISL_416410	?	2020-01-24	Oceania	Australia	Victoria	Melbourne	Oceania	Australia	Victoria	genome	29865	Human	58	Male	?	B	O	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Druce J., Taiaroa, G.	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Australia/VIC03/2020	betacoronavirus	EPI_ISL_416411	?	2020-01-25	Oceania	Australia	Victoria	Melbourne	Oceania	Australia	Victoria	genome	29899	Human	58	Male	?	B	O	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Druce J., Taiaroa, G.	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Australia/VIC06/2020	betacoronavirus	EPI_ISL_416414	?	2020-03-06	Oceania	Australia	Victoria	Melbourne	Oceania	Australia	Victoria	genome	29865	Human	31	Female	?	B.4	O	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Druce J., Taiaroa, G.	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/Hangzhou/ZJU-07/2020	betacoronavirus	EPI_ISL_416425	?	2020-02-03	Asia	China	Hangzhou		Asia	China	Hangzhou	genome	29941	Human	4 months	Male	?	B	L	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003	Hangping Yao, Nanping Wu, Chao Jiang, Xiangyun Lu, Linfang Cheng, Fumin Liu, Zhigang Wu, Haibo Wu, Changzhong Jin, Min Zheng, Lanjuan Li	https://www.gisaid.org/	?	?	2020-03-21	?
hCoV-19/SaudiArabia/KAIMRC-Alghoribi/2020	betacoronavirus	EPI_ISL_416432	?	2020-03-07	Asia	Saudi Arabia	Riyadh		Asia	Saudi Arabia	Riyadh	genome	29843	Human	68	Male	?	B.6	O	Clinical Microbiology Lab	Infectious Disease Research Department, King Abdullah International Medical Research Center (KAIMRC)	Majed Alghoribi, Sadeem Alhayli, Abdulrahman Alswaji, Liliane Okdah, Sameera Al Johani, Michel Doumith	https://www.gisaid.org/	?	?	2020-03-21	?
hCoV-19/USA/WA-UW93/2020	betacoronavirus	EPI_ISL_416449	?	2020-03-11	North America	USA	Washington		North America	USA	Washington	genome	29605	Human	unknown	unknown	?	B.6	O	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-21	?
hCoV-19/USA/WA-UW95/2020	betacoronavirus	EPI_ISL_416451	?	2020-03-10	North America	USA	Washington		North America	USA	Washington	genome	29844	Human	unknown	unknown	?	A.1	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-21	?
hCoV-19/Kuwait/KU12/2020	betacoronavirus	EPI_ISL_416458	?	2020-03-02	Asia	Kuwait	Hawali		Asia	Kuwait	Hawali	genome	29894	Human	unknown	unknown	?	B.4	O	Virology laboratory Ministry of Health Kuwait sequenced at Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla, Sumi John, Sara Alqabandi, Rasheeba iqbal, Motasem Melhem, Ebaa alOzairi, Qais Al-Duwairi	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/Georgia/Tb-537/2020	betacoronavirus	EPI_ISL_416480	?	2020-03-11	Asia	Georgia	Tbilisi		Asia	Georgia	Tbilisi	genome	29834	Human	19	Male	?	B	V	R. G. Lugar Center for Public Health Research,  National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research,  National Center for Disease Control and Public Health (NCDC) of Georgia.	Ann Machablishvili, Nato Kotaria, Marine Murtskhvaladze, Lela Sabadze, Mari Gavashelidze, Ana Papkiauri, Meri Pantsulaia, Gvantsa Brachveli, Tata Imnadze, Tamar Jashiashvili, Tea Tevdoradze, Ketevan Sidamonidze, Ekaterine Khmaladze, Ekaterine Zhghenti, Roena Sukhiashvili, Mariam Zakalashvili, Lela Urushadze, Magda Dgebuadze, Giorgi Tomashvili, Davit Tsaguria, Ekaterine Zangaladze, Nino Berishvili, Gvantsa Chanturia, Adam Kotorashvili, Maia Alkhazashvili, Irma Burjanadze, Anna Kasradze, Khatuna Zakhashvili, Paata Imnadze, Amiran Gamkrelidze.	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/France/HDF-2234/2020	betacoronavirus	EPI_ISL_416495	?	2020-03-10	Europe	France	Hauts-de-France	Compiègne	Europe	France	Hauts-de-France	genome	29864	Human	70	Male	?	B.1	GH	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Raulin Olivia	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/France/BRE-2334/2020	betacoronavirus	EPI_ISL_416503	?	2020-03-01	Europe	France	Bretagne	Rennes	Europe	France	Bretagne	genome	29853	Human	23	unknown	?	B	V	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/France/BRE-2340/2020	betacoronavirus	EPI_ISL_416507	?	2020-03-05	Europe	France	Bretagne	Rennes	Europe	France	Bretagne	genome	29873	Human	25	unknown	?	B	V	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Gisèle Lagathu	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/Australia/VIC09/2020	betacoronavirus	EPI_ISL_416515	?	2020-03-15	Oceania	Australia	Victoria	Melbourne	Oceania	Australia	Victoria	genome	29852	Human	44	Female	?	B	V	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Taiaroa, G., Druce J.	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/Australia/VIC10/2020	betacoronavirus	EPI_ISL_416516	?	2020-03-16	Oceania	Australia	Victoria	Melbourne	Oceania	Australia	Victoria	genome	29874	Human	69	Male	?	B	V	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Taiaroa, G., Druce J.	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/Japan/SMU-0311S3/2020	betacoronavirus	EPI_ISL_416525	?	2020-03-11	Asia	Japan	Saitama		Asia	Japan	Saitama	genome	29846	Human	unknown	unknown	?	B.1	G	Saitama Medical University	Saitama Medical University	Kazuo Imai	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/NewZealand/20VR0206/2020	betacoronavirus	EPI_ISL_416526	?	2020-03-05	Oceania	New Zealand	Auckland		Oceania	New Zealand	Auckland	genome	29782	Human	unknown	Female	?	B.4	O	Auckland Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey, Xiaoyun Ren, Gary McAuliffe, Sally Roberts, Matthew Blakiston, Erasmus Smit, Lauren Jelly, Joep de Ligt	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/NewZealand/20VR0275/2020	betacoronavirus	EPI_ISL_416538	?	2020-03-15	Oceania	New Zealand	Wellington		Oceania	New Zealand	Wellington	genome	29782	Human	unknown	Male	?	A	S	Wellington Hospital	Institute of Environmental Science and Research (ESR)	Wellington SCL, Wellington Hospital, Riddiford Street, Newtown, Wellington 6021, New Zealand	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/NewZealand/20VR0276/2020	betacoronavirus	EPI_ISL_416539	?	2020-03-15	Oceania	New Zealand	Wellington		Oceania	New Zealand	Wellington	genome	29782	Human	unknown	Male	?	A	S	Wellington Hospital	Institute of Environmental Science and Research (ESR)	Matt Storey, Xiaoyun Ren, Craig Thornley, Maxim Bloomfield, Erasmus Smit, Lauren Jelly, Joep de Ligt	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Kuwait/KU09/2020	betacoronavirus	EPI_ISL_416541	?	2020-03-02	Asia	Kuwait	Dasman		Asia	Kuwait	Dasman	genome	29902	Human	unknown	unknown	?	B.4	O	Dasman Diabetes Institute and Virology Laboratory Ministry of Health	Dasman Diabetes Institute	Fahd Al-Mulla, Sumi John, Rasheeba Iqbal, Motasem Melhem, Ebaa AlOzairi, Sara Al-Qabandi, Qais Al-Duwairi	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Kuwait/KU17/2020	betacoronavirus	EPI_ISL_416542	?	2020-03-02	Asia	Kuwait	Dasman		Asia	Kuwait	Dasman	genome	29893	Human	unknown	unknown	?	B.4	O	Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla, Sumi John, Rasheeba Iqbal, Motasem Melhem, Ebaa AlOzairi, Sara Al-Qabandi, Qais Al-Duwairi	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Kuwait/KU18/2020	betacoronavirus	EPI_ISL_416543	?	2020-03-02	Asia	Kuwait	Dasman		Asia	Kuwait	Dasman	genome	29896	Human	unknown	unknown	?	B.4	O	Dasman Diabetes Institute	Dasman Diabetes Institute	Fahd Al-Mulla, Rasheeba Iqbal, Sumi John, Motasem Melhem, Ebaa AlOzairi, Sara Al-Qabandi, Qais Al-Duwairi	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Japan/DP0027/2020	betacoronavirus	EPI_ISL_416566	?	2020-02-15	Asia	Japan			Asia	Japan		genome	29831	Human	unknown	unknown	?	B	O	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Japan/DP0065/2020	betacoronavirus	EPI_ISL_416570	?	2020-02-15	Asia	Japan			Asia	Japan		genome	29790	Human	unknown	unknown	?	B	O	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Japan/DP0236/2020	betacoronavirus	EPI_ISL_416585	?	2020-02-16	Asia	Japan			Asia	Japan		genome	29836	Human	unknown	unknown	?	B	O	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Japan/DP0287/2020	betacoronavirus	EPI_ISL_416589	?	2020-02-16	Asia	Japan			Asia	Japan		genome	29811	Human	unknown	unknown	?	B	O	Japanese Quarantine Stations	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Tsutomu Kageyama, Shinji Saito, Ikuyo Takayama, Hideki Hasegawa, Takuri Takahashi, Hajime Kamiya, Takuya Yamagishi, Motoi Suzuki, Takaji Wakita, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW108/2020	betacoronavirus	EPI_ISL_416646	?	2020-03-11	North America	USA	Washington		North America	USA	Washington	genome	29822	Human	unknown	unknown	?	B.39	V	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW112/2020	betacoronavirus	EPI_ISL_416650	?	2020-03-10	North America	USA	Washington		North America	USA	Washington	genome	29867	Human	unknown	unknown	?	A.1	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW113/2020	betacoronavirus	EPI_ISL_416651	?	2020-03-11	North America	USA	Washington		North America	USA	Washington	genome	29893	Human	unknown	unknown	?	A.1	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW137/2020	betacoronavirus	EPI_ISL_416675	?	2020-03-11	North America	USA	Washington		North America	USA	Washington	genome	29884	Human	unknown	unknown	?	B.58	V	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW141/2020	betacoronavirus	EPI_ISL_416679	?	2020-03-11	North America	USA	Washington		North America	USA	Washington	genome	29869	Human	unknown	unknown	?	A.1	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW157/2020	betacoronavirus	EPI_ISL_416695	?	2020-03-13	North America	USA	Washington		North America	USA	Washington	genome	29753	Human	unknown	unknown	?	A.1	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/CT-UW158/2020	betacoronavirus	EPI_ISL_416696	?	2020-03-13	North America	USA	Connecticut		North America	USA	Connecticut	genome	29854	Human	unknown	unknown	?	A	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW168/2020	betacoronavirus	EPI_ISL_416706	?	2020-03-13	North America	USA	Washington		North America	USA	Washington	genome	29788	Human	unknown	unknown	?	B.6	O	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW175/2020	betacoronavirus	EPI_ISL_416713	?	2020-03-15	North America	USA	Washington		North America	USA	Washington	genome	29817	Human	unknown	unknown	?	A.1	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW185/2020	betacoronavirus	EPI_ISL_416723	?	2020-03-14	North America	USA	Washington		North America	USA	Washington	genome	29841	Human	unknown	unknown	?	B.39	V	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/USA/WA-UW190/2020	betacoronavirus	EPI_ISL_416728	?	2020-03-13	North America	USA	Washington		North America	USA	Washington	genome	29785	Human	unknown	unknown	?	A.1	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/England/SHEF-BFCEE/2020	betacoronavirus	EPI_ISL_416733	?	2020-03-07	Europe	United Kingdom	England	South Yorkshire	Europe	United Kingdom	England	genome	29782	Human	25	Female	?	B.39	V	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Matthew Wyles, Mehmet Yavuz, Mohammad Raza, Cariad Evans	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/England/SHEF-BFD36/2020	betacoronavirus	EPI_ISL_416738	?	2020-03-09	Europe	United Kingdom	England	Nottinghamhisre	Europe	United Kingdom	England	genome	29782	Human	39	Male	?	B.23	L	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Matthew Wyles, Mehmet Yavuz, Mohammad Raza, Cariad Evans	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/England/SHEF-BFD45/2020	betacoronavirus	EPI_ISL_416739	?	2020-03-09	Europe	United Kingdom	England	South Yorkshire	Europe	United Kingdom	England	genome	29782	Human	67	Male	?	B.23	L	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Matthew Wyles, Mehmet Yavuz, Mohammad Raza, Cariad Evans	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Belgium/ULG-3662/2020	betacoronavirus	EPI_ISL_417008	?	2020-03-07	Europe	Belgium	Liège		Europe	Belgium	Liège	genome	29782	Human	31	Female	?	B.38	V	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith, Artesi Maria, Bontems Sébastien, Boreux Raphaël, Meex Cécile, Melin Pierrette, Hayette Marie-Pierre, Bours Vincent.	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Belgium/ULG-3665/2020	betacoronavirus	EPI_ISL_417009	?	2020-03-07	Europe	Belgium	Liège		Europe	Belgium	Liège	genome	29782	Human	63	Female	?	B.38	V	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith, Artesi Maria, Bontems Sébastien, Boreux Raphaël, Meex Cécile, Melin Pierrette, Hayette Marie-Pierre, Bours Vincent.	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Belgium/ULG-3683/2020	betacoronavirus	EPI_ISL_417011	?	2020-03-07	Europe	Belgium	Liège		Europe	Belgium	Liège	genome	29782	Human	59	Male	?	B.38	V	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith, Artesi Maria, Bontems Sébastien, Boreux Raphaël, Meex Cécile, Melin Pierrette, Hayette Marie-Pierre, Bours Vincent.	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Belgium/ULG-6638/2020	betacoronavirus	EPI_ISL_417017	?	2020-03-14	Europe	Belgium	Liège		Europe	Belgium	Liège	genome	29782	Human	32	Male	?	B.39	V	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith, Artesi Maria, Bontems Sébastien, Boreux Raphaël, Meex Cécile, Melin Pierrette, Hayette Marie-Pierre, Bours Vincent.	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Belgium/ULG-7019/2020	betacoronavirus	EPI_ISL_417025	?	2020-03-15	Europe	Belgium	Liège		Europe	Belgium	Liège	genome	29782	Human	29	Female	?	B.39	O	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin Keith, Artesi Maria, Bontems Sébastien, Boreux Raphaël, Meex Cécile, Melin Pierrette, Hayette Marie-Pierre, Bours Vincent.	https://www.gisaid.org/	?	?	2020-03-23	?
hCoV-19/Australia/QLDID921/2020	betacoronavirus	EPI_ISL_417033	?	2020-03-11	Oceania	Australia	Queensland	Brisbane	Oceania	Australia	Queensland	genome	29865	Human	70	Female	?	B.6	O	Sullivan Nicolaides Pathology	Public Health Virology Laboratory	Bixing Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore	https://www.gisaid.org/	?	?	2020-03-24	?
hCoV-19/HongKong/HKPU2_1801/2020	betacoronavirus	EPI_ISL_417177	?	2020-01-23	Asia	Hong Kong			Asia	Hong Kong		genome	29782	Human	56	Male	?	B	O	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU	https://www.gisaid.org/	?	?	2020-03-24	?
hCoV-19/HongKong/HKPU12_2201/2020	betacoronavirus	EPI_ISL_417179	?	2020-01-30	Asia	Hong Kong			Asia	Hong Kong		genome	29782	Human	75	Male	?	B	O	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU	https://www.gisaid.org/	?	?	2020-03-24	?
